word,count
挑動,2
每,5
細胞,3
天亮,3
睡覺,2
思緒,2
顛倒,2
這次,2
防備,2
全關,2
掉,2
只許,2
走近,2
步調,5
心,9
一層,4
融掉,2
開竅,2
那鏡子,1
不藏,1
秘密,1
我還,1
不肯,1
聽,4
電話,1
裡略,1
抱歉,1
我嘟,1
一聲切,1
分手,1
徹底,1
淚濕,2
衣洗,2
乾淨陽,2
光裡,2
曬,2
乾,2
傷心,3
出去,2
這愛的,2
雖然,3
擁擠,2
不必,2
訝異,2
代替,6
離開,8
那愛笑,6
流過,3
暴風,2
雨淋,2
濕,3
昨天,3
刪去,1
找回,3
再見,5
決定,1
Oh,1
淚當,1
看,8
舊,1
小心,1
而已,1
堅定,3
忘記,1
假裝,4
風到,1
這裡,3
黏,1
黏住,1
過客,1
思念,2
雨到,1
纏,4
成線,1
纏著,1
流連,1
人世,1
間,3
妳在,1
身邊,3
緣,1
緣份,1
三生石,1
上面,1
愛有,1
萬分,1
之一,1
甜,1
寧願,1
葬,1
這一點,1
圈圈,4
圓圓,2
年,4
深深,2
生氣,3
溫柔,10
愛恨,2
情愁,2
煎熬,3
以,17
相愛就,2
風,2
雲,2
善變,2
抵過,3
永遠,9
這一剎,3
凍結,3
表現,3
還以,3
殉情,3
古老,3
傳言,3
離愁,3
痛痛,3
有多濃,3
當夢,3
埋,3
江南,3
煙雨中,3
LoveUU,4
孤獨,3
漁夫,1
不出,1
溫度,1
很想給,1
轉彎處,1
潮汐,1
之外,1
荒蕪,1
海裡,1
迷了路,1
找不出,1
歸屬,1
越嘗,1
越苦,1
亂,5
腳步,1
讀,1
唇,1
語之間,1
無助,1
用,14
盡,4
不了,7
心底,2
難以,2
靠近,2
奢求,2
唯一,2
所,2
有力,2
氣,2
堅持,2
聲音,3
剩,4
Staywithme,2
放棄,1
放開,1
海浪,1
穿透,1
一,4
還在,1
尋找,1
替,2
煩惱,1
預兆緣,2
份,2
緊靠,2
然後孤單,2
吞,2
無聊,2
變得,2
聊,2
變化,3
小酒,5
窩長,5
睫毛,5
最美,2
記號,2
每天,4
睡不著,2
多麼,2
重要,2
完整,2
剛好,2
迷人,3
無,3
可救藥,3
放慢,3
像是,6
喝醉,3
終於,3
靈犀,3
美好,5
一輩子,3
暖暖的,3
我永遠,3
愛你到,3
老,5
回到,3
從前,1
原始,1
是否,6
會覺,1
不錯,1
我離,1
遙遠,1
相約,1
已經,4
見,8
瞇,4
著笑當,4
喝,4
可樂當,4
吵,4
你好,4
成為,4
嗜好,4
當你說,3
今天,5
煩,3
惱當,3
夜深,3
不著,5
喜歡,7
知不知道,4
